DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2003,162.73,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2004,57.72,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2005,61.45,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2006,128.54,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2007,247.56,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2008,172.96,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2009,117.02,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2010,180.30,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2011,128.56,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2012,274.81,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2013,134.49,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2014,102.89,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2015,198.00,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2016,185.14,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2017,208.93,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2018,127.77,,
